araMac1	Scarlet macaw	Ara macao
colLiv1	Rock pigeon	Columba livia
anaPla1	Mallard duck	Anas platyrhynchos
cheMyd1	Green seaturtle	Chelonia mydas
pelSin1	Chinese softshell turtle	Pelodiscus sinensis
apaSpi1	Spiny softshell turtle	Apalone spinifera
takFla1	Yellowbelly pufferfish	Takifugu flavidus
neoBri1	Princess of Burundi	Neolamprologus brichardi
hapBur1	Burton's mouthbreeder	Haplochromis burtoni
mayZeb1	Zebra mbuna	Maylandia zebra
punNye1	Pundamilia nyererei	Pundamilia nyererei
xipMac1	Southern platyfish	Xiphophorus maculatus
astMex1	Mexican tetra (cavefish)	Astyanax mexicanus
lepOcu1	Spotted gar	Lepisosteus oculatus
jacJac1	Lesser Egyptian jerboa	Jaculus jaculus
letCam1	Arctic lamprey	Lethenteron camtschaticum
braNey1	Braney	braney test
hg38	Human	Homo sapiens
calMil1	Elephant shark	Callorhinchus milii
balAcu1	Minke whale	Balaenoptera acutorostrata scammoni
cynSem1	Tongue sole	Cynoglossus semilaevis
chrPic2	Painted turtle	Chrysemys picta bellii
bubBub1	Water buffalo	Bubalus bubalis
chlSab2	Green monkey	Chlorocebus sabaeus
serCan1	Canary	Serinus canaria
poeFor1	Amazon molly	Poecilia formosa
pytBiv1	Burmese python	Python bivittatus
cotJap1	Japanese quail	Coturnix japonica
sebNig1	Tiger rockfish	Sebastes nigrocinctus
sebRub1	Flag rockfish	Sebastes rubrivinctus
perManBai1	Prairie deer mouse	Peromyscus maniculatus bairdii
rhiFer1	Greater horseshoe bat	Rhinolophus ferrumequinum
angJap1	Japanese eel	Anguilla japonica
phyCat1	Sperm whale	Physeter catodon
megLyr1	Indian false vampire	Megaderma lyra
ptePar1	Parnell's mustached bat	Pteronotus parnellii
poeRet1	Guppy	Poecilia reticulata
dm6	D. melanogaster	Drosophila melanogaster
strCam1	Ostrich	Struthio camelus australis
ursMar1	Polar bear	Ursus maritimus
galVar1	Malayan flying lemur	Galeopterus variegatus
droAlb1	D. albomicans	Drosophila albomicans
lipVex1	Yangtze river dolphin	Lipotes vexillifer
droKik2	D. kikkawai	Drosophila kikkawai
droRho2	D. rhopaloa	Drosophila rhopaloa
eidHel1	Straw colored fruit bat	Eidolon helvum
musDom2	M. domestica	Musca domestica
apiMel4	A. mellifera	Apis mellifera
droSuz1	D. suzukii	Drosophila suzukii
droBia2	D. biarmipes	Drosophila biarmipes
droWil2	D. willistoni	Drosophila willistoni
droYak3	D. yakuba	Drosophila yakuba
allSin1	Chinese alligator	Alligator sinensis
droPse3	D. pseudoobscura	Drosophila pseudoobscura pseudoobscura
droTak2	D. takahashii	Drosophila takahashii
droBip2	D. bipectinata	Drosophila bipectinata
droEug2	D. eugracilis	Drosophila eugracilis
droFic2	D. ficusphila	Drosophila ficusphila
droEle2	D. elegans	Drosophila elegans
droMir2	D. miranda	Drosophila miranda
myoBra1	Brandt's myotis (bat)	Myotis brandtii
panTig1	Amur tiger	Panthera tigris altaica
tarIhg38	tarInv	Homo sapiens tar
acaChl1	Rifleman	Acanthisitta chloris
apaVit1	Bar tailed trogon	Apaloderma vittatum
aptFor1	Emperor penguin	Aptenodytes forsteri
aquChr1	Golden eagle	Aquila chrysaetos canadensis
balPav1	Crowned crain	Balearica pavonina gibbericeps
bosMut1	Wild yak	Bos grunniens mutus
calAnn1	Anna's hummingbird	Calypte anna
capCar1	Chuck-will's-widow	Caprimulgus carolinensis
carCri1	Red-legged seriema	Cariama cristata
chaVoc1	Killdeer	Charadrius vociferus
chlUnd1	Houbara bustard	Chlamydotis undulata macqueenii
colStr1	Speckled mousebird	Colius striatus
corBra1	American crow	Corvus brachyrhynchos
cucCan1	Common cuckoo	Cuculus canorus
dicLab1	European sea bass	Dicentrarchus labrax
egrGar1	Little egret	Egretta garzetta
equPrz1	Przewalski horse	Equus przewalskii
eurHel1	Sunbittern	Eurypyga helias
fulGla1	Northern fulmar	Fulmarus glacialis
gavSte1	Red-throated loon	Gavia stellata
halAlb1	White-tailed eagle	Haliaeetus albicilla
lepDis1	Cuckoo roller	Leptosomus discolor
manVit1	Golden-collared manakin	Manacus vitellinus
merNub1	Northern carmine bee-eater	Merops nubicus
mesUni1	Brown roatelo	Mesitornis unicolor
nanGal1	Upper Galilee mountains blind mole rat	Nannospalax galili
nipNip1	Crested ibis	Nipponia nippon
opiHoa1	Hoatzin	Opisthocomus hoazin
pelCri1	Dalmatian pelican	Pelecanus crispus
phaLep1	White-tailed tropicbird	Phaethon lepturus
picPub1	Downy woodpecker	Picoides pubescens
pteGut1	Yellow-throated sandgrouse	Pterocles gutturalis
pygAde1	Adelie penguin	Pygoscelis adeliae
stePar1	Bicolor damselfish	Stegastes partitus
tytAlb1	Barn owl	Tyto alba
phoRub1	American flamingo	Phoenicopterus ruber ruber
phaCar1	Great cormorant	Phalacrocorax carbo
tinGut1	White throated tinamou	Tinamus guttatus
tauEry1	Red crested turaco	Tauraco erythrolophus
gavGan0	Gharial	Gavialis gangeticus
rn6	Rat	Rattus norvegicus
aciBauTYTH_1	Acinetobacter baumannii	Acinetobacter baumannii_TYTH_1
bosTau8	Cow	Bos taurus
chaVoc2	Killdeer	Charadrius vociferus
bucRhi1	Rhinoceros hornbill	Buceros rhinoceros silvestris
tinGut2	White throated tinamou	Tinamus guttatus
halLeu1	Bald eagle	Haliaeetus leucocephalus
corCor1	Hooded crow	Corvus cornix cornix
notCor1	Black rockcod	Notothenia coriiceps
cypVar1	Sheepshead minnow	Cyprinodon variegatus
esoLuc1	Northern pike	Esox lucius
manPen1	Chinese pangolin	Manis pentadactyla
bunEbo1	Bundibugyo ebolavirus	Bundibugyo ebolavirus
sudEbo1	Sudan ebolavirus	Sudan ebolavirus
resEbo1	Reston ebolavirus	Reston ebolavirus
taiEbo1	Tai forest ebolavirus	Tai Forest ebolavirus
zaiEbo1	Zaire ebolavirus	Zaire ebolavirus
eboVir1	Ebola virus	Ebola virus
eboVir2	Ebola virus	Ebola virus
marVir1	Marburg virus	Marburg virus
eboVir3	Ebola virus	Filoviridae ebolavirus
plasFalc3D7V12	Plasmodium falciparum 3d7	Plasmodium falciparum 3D7
tarSyr2	Tarsier	Tarsius syrichta
felCat8	Cat	Felis catus
nasLar1	Proboscis monkey	Nasalis larvatus
rheMac7	Rhesus	Macaca mulatta
rhiRox1	Golden snub-nosed monkey	Rhinopithecus roxellana
aquChr2	Golden eagle	Aquila chrysaetos canadensis
danRer10	Zebrafish	Danio rerio
hg38Patch2	GRCh38.p2	Homo sapiens
bisBis1	Bison	Bison bison bison
ornAna2	Platypus	Ornithorhynchus anatinus
nanPar1	Tibetan frog	Nanorana parkeri
braNey38	Braney	braney test
hg38Patch3	GRCh38.p3	Homo sapiens
micMur2	Mouse lemur	Microcebus murinus
ce11	C. elegans	Caenorhabditis elegans
caeAng2	C. angaria	Caenorhabditis angaria
melInc2	M. incognita	Meloidogyne incognita
priPac3	P. pacificus	Pristionchus pacificus
panRed1	Microworm	Panagrellus redivivus
haeCon2	Barber pole worm	Haemonchus contortus
caeSp51	C. sp. 5 ju800	Caenorhabditis sp5 ju800
strRat1	Threadworm	Strongyloides ratti
strRat2	Threadworm	Strongyloides ratti
burXyl1	Pine wood nematode	Bursaphelenchus xylophilus
dirImm1	Dog heartworm	Dirofilaria immitis
oncVol1	O. volvulus	Onchocerca volvulus
triSpi1	Trichinella	Trichinella spiralis
triSui1	Whipworm	Trichuris suis
loaLoa1	Eye worm	Loa loa
ascSuu1	Pig roundworm	Ascaris suum
priExs1	P. exspectatus	Pristionchus exspectatus
hetBac1	H. bacteriophora/m31e	Heterorhabditis bacteriophora
ancCey1	A. ceylanicum	Ancylostoma ceylanicum
necAme1	N. americanus	Necator americanus
bruMal2	Filarial worm	Brugia malayi
ci3	C. intestinalis	Ciona intestinalis
thaSir1	Garter snake	Thamnophis sirtalis
aptMan1	Brown kiwi	Apteryx australis
gorGor4	Gorilla	Gorilla gorilla gorilla
hg38Patch5	GRCh38.p5	Homo sapiens
oxyTri2	Oxytricha trifallax	Oxytricha trifallax
hg38Patch6	GRCh38.p6	Homo sapiens
rheMac8	Rhesus	Macaca mulatta
galGal5	Chicken	Gallus gallus
rouAeg1	Egyptian rousette	Rousettus aegyptiacus
panPan2	Bonobo	Pan paniscus
mm10Patch4	GRCm38.p4	Mus musculus
hg38Patch7	GRCh38.p7	Homo sapiens
colAng1	Angolan colobus	Colobus angolensis palliatus
gorGor5	Gorilla	Gorilla gorilla gorilla
panTro5	Chimp	Pan troglodytes
droSim2	D. simulans	Drosophila simulans
hg38Patch9	GRCh38.p9	Homo sapiens
melGal5	Turkey	Meleagris gallopavo
macNem1	Pig-tailed macaque	Macaca nemestrina
rhiBie1	Black snub-nosed monkey	Rhinopithecus bieti
micMur3	Mouse lemur	Microcebus murinus
xenTro9	X. tropicalis	Xenopus tropicalis
xenLae2	African clawed frog	Xenopus laevis
criGriChoV1	Chinese hamster	Cricetulus griseus
hpv1	Hpv	Human papillomavirus type 90
danRer11	Zebrafish	Danio rerio
hbv1	Hbv	Hepatitis B virus
papAnu3	Baboon	Papio anubis
susScr11	Pig	Sus scrofa
oreNil3	Nile tilapia	Oreochromis niloticus
staAur1	Staph	Staphylococcus aureus
hg38Patch11	GRCh38.p11	Homo sapiens
test	none	none
manLeu1	Drill	Mandrillus leucophaeus
aotNan1	Ma's night monkey	Aotus nancymaae
cerAty1	Sooty mangabey	Cercocebus atys
neoSch1	Hawaiian monk seal	Neomonachus schauinslandi
proCoq1	Coquerel's sifaka	Propithecus coquereli
cebCap1	White-faced sapajou	Cebus capucinus imitator
eulFla1	Sclater's lemur	Eulemur flavifrons
eulMac1	Black lemur	Eulemur macaco
anoGam3	A. gambiae	Anopheles gambiae
dipOrd2	Kangaroo rat	Dipodomys ordii
fukDam1	Damara mole rat	Fukomys damarensis
criGriChoV2	Chinese hamster	Cricetulus griseus
papAnu4	Baboon	Papio anubis
cavApe1	Brazilian guinea pig	Cavia aperea
ficAlb1	Collared flycatcher	Ficedula albicollis
petMar3	Lamprey	Petromyzon marinus
felCat9	Cat	Felis catus
astCal1	Eastern happy	Astatotilapia calliptera
casCan1	Beaver	Castor canadensis
panTro6	Chimp	Pan troglodytes
ponAbe3	Orangutan	Pongo pygmaeus abelii
equCab3	Horse	Equus caballus
grcHhh38	Human	Homo sapiens
grcH38P11	Human	Homo sapiens
oviAri4	Sheep	Ovis aries
hg19Patch13	GRCh37.p13	Homo sapiens
grcH38P12	Human	Homo sapiens
ambMex1	Axolotl	Ambystoma mexicanum
macLig1	Macrostomum	Macrostomum lignano 
boaCon1	Boa	Boa constrictor
schJap1	Schist.japonicum	Schistosoma japonicum
schMed1	Schmidtea	Schmidtea mediterranea
schMan1	Schist.mansoni	Schistosoma mansoni
dp4	D. pseudoobscura	Drosophila pseudoobscura
droSuz1	D. suzukii	Drosophila suzukii
droMau1	D. mauritiana	Drosophila mauritiana
dp5	D. pseudoobscura	Drosophila pseudoobscura pseudoobscura
droSuz2	D. suzukii	Drosophila suzukii
HLlipVex1	Yangtze river dolphin	Lipotes vexillifer
HLbalAcu1	Minke whale	Balaenoptera acutorostrata
HLphyCat1	Sperm whale	Physeter catodon 
HLursMar1	Polar bear	Ursus maritimus
lambda	Lambda	Enterobacteria phage lambda
HLtupMer0	Tupinambis	Tupinambis teguixin
HLtupMer1	Tupinambis	Tupinambis teguixin
HLthaPse1	Thalassiosira pseudonana	Thalassiosira pseudonana
HLphaTri1	Phaeodactylum tricornutum	Phaeodactylum tricornutum
HLfraCyl1	Fragilariopsis cylindrus	Fragilariopsis cylindrus
HLnotFur1	Turquoise killifish	Nothobranchius furzeri
HLtupMer2	Tupinambis	Tupinambis merianae
HLtreOri1	Tretioscincus	Tretioscincus oriximinensis
HLophGra1	Ophisaurus	Ophisaurus gracilis
HLtupMer3	Tupinambis	Tupinambis merianae
HLcalSin1	Calyptommatus	Calyptommatus sinebrachiatus
HLptePar	Parnell moustached bat	Pteronotus parnellii
HLcroHor1	Timber rattlesnake	Crotalus horridus
HLgekJap1	Gekko	Gekko japonicus
HLaotNan1	Night monkey	Aotus nancymaae
HLcebCap1	White-faced sapajou	Cebus capucinus imitator
HLproCoq1	Sifaka	Propithecus coquereli
HLcerAty1	Sooty mangabey	Cercocebus atys
HLcolAng1	Angolan colobus	Colobus angolensis palliatus
HLpogVit1	Australian dragon	Pogona vitticeps
schMed3	Schmidtea	Schmidtea mediterranea
macLig2	Macrostomum	Macrostomum lignano 
HLambMex2	Axolotl	Ambystoma mexicanum
HLambMex1	Axolotl	Ambystoma mexicanum
HLambMex4	Axolotl	Ambystoma mexicanum
HLambMex3	Axolotl	Ambystoma mexicanum
HLambMexHox	Axolotl	Ambystoma mexicanum
HLaciJub1	Cheetah	Acinonyx jubatus
HLailFul1	Lesser panda	Ailurus fulgens styani
HLcasCan1	American beaver	Castor canadensis
HLequAsi1	Ass	Equus asinus
HLfukDam1	Damara mole-rat	Fukomys damarensis
HLhipArm1	Great roundleaf bat	Hipposideros armiger
HLlycPic1	African hunting dog	Lycaon pictus
HLmanJav1	Malayan pangolin	Manis javanica
HLmarMar1	Alpine marmot	Marmota marmota marmota
HLminNat1	Natal long-fingered bat	Miniopterus natalensis
HLoviCan1	Bighorn sheep	Ovis canadensis canadensis
HLpanPar1	Leopard	Panthera pardus
HLrhiSin1	Chinese rufous horseshoe bat	Rhinolophus sinicus
HLodoVir1	White-tailed deer	Odocoileus virginianus texanus
HLcamFer2	Wild bactrian camel	Camelus ferus
HLcamBac1	Bactrian camel	Camelus bactrianus
HLcapHir2	Goat	Capra hircus
HLturTru3	Bottlenose dolphin	Tursiops truncatus
HLoviAri4	Sheep	Ovis aries
HLpteVam2	Large flying fox	Pteropus vampyrus
HLproCap2	Cape rock hyrax	Procavia capensis
HLsusScr4	Pig	Sus scrofa
HLchoHof2	Hoffmanns two-fingered sloth	Choloepus hoffmanni
ambMex3	Axolotl	Ambystoma mexicanum
HLmacNem1	Pig-tailed macaque	Macaca nemestrina
HLmerUng1	Mongolian gerbil	Meriones unguiculatus
HLcamDro1	Arabian camel	Camelus dromedarius
HLneoSch1	Hawaiian monk seal	Neomonachus schauinslandi
HLmusCar1	Ryukyu mouse	Mus caroli
HLmusPah1	Shrew mouse	Mus pahari
HLcerEla1	Red deer	Cervus elaphus hippelaphus
HLmanLeu1	Drill	Mandrillus leucophaeus
HLbosInd1	Zebu cattle	Bos indicus
HLaotNan2	Mas night monkey	Aotus nancymaae
HLphaCin1	Koala	Phascolarctos cinereus
HLdipOrd2	Ords kangaroo rat	Dipodomys ordii
HLdesRot1	Common vampire bat	Desmodus rotundus
HLorcOrc1	Killer whale	Orcinus orca
HLenhLut1	Sea otter	Enhydra lutris kenyoni
HLdelLeu1	Beluga whale	Delphinapterus leucas
HLmyoMyo1	Greater mouse-eared bat	Myotis myotis
HLmyoMyo2	Greater mouse-eared bat	Myotis myotis
HLmyoMyo3	Greater mouse-eared bat	Myotis myotis
HLcalAnn1	Anna's hummingbird	Calypte anna
HLcalAnn2	Annas hummingbird	Calypte anna
HLequCab3	Horse	Equus caballus
HLchaPel1	Chimney swift	Chaetura pelagica
macLig1	Macrostomum	Macrostomum lignano 
boaCon1	Boa	Boa constrictor
schJap1	Schist.japonicum	Schistosoma japonicum
schMed1	Schmidtea	Schmidtea mediterranea
schMan1	Schist.mansoni	Schistosoma mansoni
dp4	D. pseudoobscura	Drosophila pseudoobscura
droSuz1	D. suzukii	Drosophila suzukii
droMau1	D. mauritiana	Drosophila mauritiana
dp5	D. pseudoobscura	Drosophila pseudoobscura pseudoobscura
droSuz2	D. suzukii	Drosophila suzukii
HLlipVex1	Yangtze river dolphin	Lipotes vexillifer
HLbalAcu1	Minke whale	Balaenoptera acutorostrata
HLphyCat1	Sperm whale	Physeter catodon 
HLursMar1	Polar bear	Ursus maritimus
lambda	Lambda	Enterobacteria phage lambda
HLtupMer0	Tupinambis	Tupinambis teguixin
HLtupMer1	Tupinambis	Tupinambis teguixin
HLthaPse1	Thalassiosira pseudonana	Thalassiosira pseudonana
HLphaTri1	Phaeodactylum tricornutum	Phaeodactylum tricornutum
HLfraCyl1	Fragilariopsis cylindrus	Fragilariopsis cylindrus
HLnotFur1	Turquoise killifish	Nothobranchius furzeri
HLtupMer2	Tupinambis	Tupinambis merianae
HLtreOri1	Tretioscincus	Tretioscincus oriximinensis
HLophGra1	Ophisaurus	Ophisaurus gracilis
HLtupMer3	Tupinambis	Tupinambis merianae
HLcalSin1	Calyptommatus	Calyptommatus sinebrachiatus
HLptePar	Parnell moustached bat	Pteronotus parnellii
HLcroHor1	Timber rattlesnake	Crotalus horridus
HLgekJap1	Gekko	Gekko japonicus
HLaotNan1	Night monkey	Aotus nancymaae
HLcebCap1	White-faced sapajou	Cebus capucinus imitator
HLproCoq1	Sifaka	Propithecus coquereli
HLcerAty1	Sooty mangabey	Cercocebus atys
HLcolAng1	Angolan colobus	Colobus angolensis palliatus
HLpogVit1	Australian dragon	Pogona vitticeps
schMed3	Schmidtea	Schmidtea mediterranea
macLig2	Macrostomum	Macrostomum lignano 
HLambMex2	Axolotl	Ambystoma mexicanum
HLambMex1	Axolotl	Ambystoma mexicanum
HLambMex4	Axolotl	Ambystoma mexicanum
HLambMex3	Axolotl	Ambystoma mexicanum
HLambMexHox	Axolotl	Ambystoma mexicanum
HLaciJub1	Cheetah	Acinonyx jubatus
HLailFul1	Lesser panda	Ailurus fulgens styani
HLcasCan1	American beaver	Castor canadensis
HLequAsi1	Ass	Equus asinus
HLfukDam1	Damara mole-rat	Fukomys damarensis
HLhipArm1	Great roundleaf bat	Hipposideros armiger
HLlycPic1	African hunting dog	Lycaon pictus
HLmanJav1	Malayan pangolin	Manis javanica
HLmarMar1	Alpine marmot	Marmota marmota marmota
HLminNat1	Natal long-fingered bat	Miniopterus natalensis
HLoviCan1	Bighorn sheep	Ovis canadensis canadensis
HLpanPar1	Leopard	Panthera pardus
HLrhiSin1	Chinese rufous horseshoe bat	Rhinolophus sinicus
HLodoVir1	White-tailed deer	Odocoileus virginianus texanus
HLcamFer2	Wild bactrian camel	Camelus ferus
HLcamBac1	Bactrian camel	Camelus bactrianus
HLcapHir2	Goat	Capra hircus
HLturTru3	Bottlenose dolphin	Tursiops truncatus
HLoviAri4	Sheep	Ovis aries
HLpteVam2	Large flying fox	Pteropus vampyrus
HLproCap2	Cape rock hyrax	Procavia capensis
HLsusScr4	Pig	Sus scrofa
HLchoHof2	Hoffmanns two-fingered sloth	Choloepus hoffmanni
ambMex3	Axolotl	Ambystoma mexicanum
HLmacNem1	Pig-tailed macaque	Macaca nemestrina
HLmerUng1	Mongolian gerbil	Meriones unguiculatus
HLcamDro1	Arabian camel	Camelus dromedarius
HLneoSch1	Hawaiian monk seal	Neomonachus schauinslandi
HLmusCar1	Ryukyu mouse	Mus caroli
HLmusPah1	Shrew mouse	Mus pahari
HLcerEla1	Red deer	Cervus elaphus hippelaphus
HLmanLeu1	Drill	Mandrillus leucophaeus
HLbosInd1	Zebu cattle	Bos indicus
HLaotNan2	Mas night monkey	Aotus nancymaae
HLphaCin1	Koala	Phascolarctos cinereus
HLdipOrd2	Ords kangaroo rat	Dipodomys ordii
HLdesRot1	Common vampire bat	Desmodus rotundus
HLorcOrc1	Killer whale	Orcinus orca
HLenhLut1	Sea otter	Enhydra lutris kenyoni
HLdelLeu1	Beluga whale	Delphinapterus leucas
HLmyoMyo1	Greater mouse-eared bat	Myotis myotis
HLmyoMyo2	Greater mouse-eared bat	Myotis myotis
HLmyoMyo3	Greater mouse-eared bat	Myotis myotis
